time,frequency,confidence
0.0,693.8379332656955,0.17878021
0.01,688.8257184238344,0.2914312
0.02,672.9454280073707,0.25571468
0.03,679.3677622018732,0.0050864927
0.04,717.3579506988857,0.0024255787
0.05,711.0370186928301,0.006676703
0.06,705.0261532732318,0.039207302
0.07,702.3958467744291,0.34454346
0.08,698.2909778672129,0.29676312
0.09,690.2989733768675,0.4759891
0.1,683.811687300946,0.43795955
0.11,683.9086357447695,0.055775184
0.12,711.779379939811,0.006080974
0.13,696.6208378768547,0.027788632
0.14,685.8854721485976,0.0032219542
0.15,730.156071591239,0.007241078
0.16,703.684007544901,0.4177632
0.17,690.946510239521,0.014212168
0.18,690.7426871530749,0.013879277
0.19,707.0779096031384,0.0056837182
0.2,700.8436114053483,0.749005
0.21,698.7826340367671,0.7378621
0.22,693.7473418793189,0.2271254
0.23,689.2601381540221,0.12457267
0.24,688.8285431354664,0.24895594
0.25,678.0885527924103,0.21130845
0.26,696.9800080753946,0.01698918
0.27,711.3056180971073,0.072234176
0.28,697.7064650263411,0.078353606
0.29,687.94298283513,0.011114427
0.3,713.9783026892128,0.0022961306
0.31,701.3527724810974,0.76657474
0.32,697.891804021698,0.7207174
0.33,692.2379580985789,0.61944985
0.34,681.2669239441378,0.38655615
0.35,674.6376995037367,0.35963553
0.36,668.3021448015822,0.33651903
0.37,678.6179259663695,0.025449764
0.38,714.872410654641,0.013257222
0.39,702.9483169762484,0.36903837
0.4,691.1646971139747,0.060068242
0.41,696.7003832533392,0.021079227
0.42,709.0010490165402,0.04565718
0.43,698.9869510858712,0.5241917
0.44,695.5233209243085,0.5917073
0.45,689.3590048342356,0.096353956
0.46,729.6790590663563,0.016525697
0.47,700.3856668654413,0.22187154
0.48,690.066307040591,0.44134763
0.49,690.1660361630418,0.16796662
0.5,734.3900185911373,0.0051577436
0.51,701.9757748024126,0.42320848
0.52,695.9669612452506,0.09867005
0.53,713.9467725551855,0.016655946
0.54,702.6290235995823,0.84383166
0.55,698.7447199645823,0.65973777
0.56,687.3643767984174,0.22125362
0.57,696.4502283814743,0.040365614
0.58,712.6645769425285,0.069549315
0.59,702.4499855567121,0.8233469
0.6,698.9017562273984,0.8221991
0.61,691.6765029886795,0.41290402
0.62,693.8464586401506,0.011469624
0.63,724.9535609644918,0.0016304983
0.64,710.5540491540439,0.007080658
0.65,700.5430462483907,0.11136048
0.66,700.0972456642598,0.010671584
0.67,705.5346477113359,0.018348321
0.68,706.6027237825864,0.18251483
0.69,713.7655730449352,0.032994952
0.7,697.3698953078367,0.142349
0.71,688.8015867581929,0.37385628
0.72,690.0986570030601,0.25037315
0.73,731.9850727484238,0.021254484
0.74,703.1294988166278,0.27363622
0.75,697.6039016164264,0.39107156
0.76,686.5707246676124,0.03890607
0.77,720.05715992567,0.018824233
0.78,722.4240623271028,0.016008846
0.79,705.550132648671,0.31591997
0.8,701.2167253375104,0.74339485
0.81,697.01742491088,0.61524826
0.82,691.5008039047991,0.5962902
0.83,691.4393330141171,0.15828793
0.84,681.9908620804928,0.24103644
0.85,680.1362959338512,0.15717234
0.86,711.3894422962393,0.025745945
0.87,707.5390536805826,0.16949016
0.88,703.0979530038643,0.62687767
0.89,715.5031062931973,0.039887916
0.9,701.1158325210667,0.17583385
0.91,703.401464884663,0.27240875
0.92,779.848860071936,0.606269
0.93,1053.4824730713578,0.21274193
0.94,1054.2014975897296,0.4566384
0.95,1049.01480677386,0.057116296
0.96,1050.2351756331564,0.5134946
0.97,1044.275647158579,0.18178582
0.98,1040.3369484088735,0.1093934
0.99,616.4204777137144,0.042195093
1.0,617.612754340051,0.35718468
1.01,619.8261566164514,0.11595075
