time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,0.0,
0.34,1320.72255719947,0.28502503
0.35,1316.8557156125348,0.15912433
0.36,1310.242762056434,0.12917788
0.37,1307.7741369285322,0.09814341
0.38,1310.31332617708,0.022284826
0.39,1322.162186789233,0.11157575
0.4,1312.4604245627436,0.09657789
0.41,1307.4692500979097,0.04024738
0.42,1300.6453329493504,0.023621636
0.43,1318.8935695875543,0.064904034
0.44,1314.5469422327023,0.08153919
0.45,1316.0233620669328,0.25771436
0.46,1322.3578427837995,0.25645444
0.47,1319.8824437496708,0.20405164
0.48,1303.3317483831374,0.078423984
0.49,1306.8592101510576,0.09336885
0.5,1308.7731996421617,0.03523229
0.51,1313.4499485830006,0.033728767
0.52,1314.8161834095652,0.08108732
0.53,1319.381426662395,0.13797699
0.54,1317.1036967615942,0.24087493
0.55,1311.9247150767187,0.1734262
0.56,1312.2653377356487,0.23766382
0.57,1321.8649214108045,0.13866426
0.58,1315.1165322544703,0.21653461
0.59,1314.4090132086444,0.1328239
0.6,1307.6058032064225,0.048969712
0.61,1314.916221682046,0.07871431
0.62,1321.0333818711456,0.050527383
0.63,1314.7006318909896,0.21352537
0.64,1329.1604610942024,0.212726
0.65,1327.5980794213253,0.15268722
0.66,1330.76066009178,0.14087063
0.67,1312.6209041714487,0.24501443
0.68,1312.3521618444672,0.25156385
0.69,1328.2267307137954,0.06838606
0.7,1328.9311962360566,0.080311894
0.71,1322.1059988610498,0.17464842
0.72,1295.3990039681144,0.018723125
0.73,1297.8221947486095,0.044215742
0.74,1324.5135237018374,0.1830946
0.75,1318.9076054422553,0.21413958
0.76,1345.6090904062182,0.09015114
0.77,1329.7789251121926,0.015984971
0.78,1305.026821180294,0.04305622
0.79,1295.7228558034385,0.060252782
0.8,1314.2671432177735,0.11961498
0.81,1313.438416704579,0.31968528
0.82,1313.070147589542,0.31442416
0.83,1300.5004067331606,0.0981147
0.84,1305.5191445188239,0.10463004
0.85,1314.0235809593855,0.16332325
0.86,1318.2166085284234,0.10395701
0.87,1313.1479638041624,0.15584831
0.88,1321.2976447530616,0.19793919
0.89,1315.461438155252,0.23324724
